City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,saskylakh,71.9167,114.0833,6.64,73,100,19.33,RU,1712437993
48,inta,66.0317,60.1659,20.98,84,100,15.99,RU,1712437994
49,kattivakkam,13.2167,80.3167,84.11,80,99,10.18,IN,1712437994
50,longyearbyen,78.2186,15.6401,-9.56,77,20,9.22,SJ,1712437994
51,barrow,71.2906,-156.7887,12.22,79,100,9.22,US,1712437995
52,sochi,43.6,39.7303,50.09,79,9,2.19,RU,1712437995
53,kenora,49.8167,-94.4337,53.78,23,100,17.0,CA,1712437791
54,key largo,25.0865,-80.4473,80.6,52,0,21.36,US,1712437996
55,zhuhai,22.2769,113.5678,78.58,94,40,8.05,CN,1712437780
56,noumea,-22.2763,166.4572,79.0,99,100,10.54,NC,1712437808
57,saint-pierre,-21.3393,55.4781,76.68,83,0,5.75,RE,1712437998
58,hobart,-42.8794,147.3294,57.06,89,0,3.44,AU,1712437705
59,hami,42.8,93.45,54.21,19,99,7.29,CN,1712437702
60,vanimo,-2.6741,141.3028,78.13,89,68,3.44,PG,1712437999
61,port alfred,-33.5906,26.891,62.19,81,100,5.01,ZA,1712438000
62,bluff,-46.6,168.3333,50.81,83,77,4.76,NZ,1712437819
63,port elizabeth,-33.918,25.5701,64.09,86,99,4.0,ZA,1712438000
64,kamenka,51.3223,42.7678,37.69,88,15,4.59,RU,1712438001
65,kang,-23.6752,22.7876,73.96,46,10,7.92,BW,1712438001
66,kruisfontein,-34.0033,24.7314,61.88,84,91,15.05,ZA,1712438002
67,beringovskiy,63.05,179.3167,7.34,89,91,11.36,RU,1712438002
68,giyani,-23.3025,30.7187,67.64,92,100,7.11,ZA,1712438003
69,san patricio,28.017,-97.5169,82.49,66,100,19.17,US,1712437916
70,provideniya,64.3833,-173.3,11.73,88,55,8.66,RU,1712438003
71,lasa,46.6166,10.7002,53.37,83,70,1.79,IT,1712438004
72,taltal,-25.4,-70.4833,69.22,77,28,7.45,CL,1712438004
73,guerrero negro,27.9769,-114.0611,63.81,39,0,15.19,MX,1712438005
74,haines junction,60.7522,-137.5108,36.14,55,62,9.46,CA,1712438005
75,new amsterdam,6.25,-57.5167,85.12,57,82,7.23,GY,1712438005
76,lompoc,34.6391,-120.4579,64.78,57,0,16.11,US,1712438006
77,arraial do cabo,-22.9661,-42.0278,76.86,83,40,9.22,BR,1712438007
78,los llanos de aridane,28.6585,-17.9182,64.15,80,20,14.97,ES,1712438007
79,rawson,-43.3002,-65.1023,75.02,28,38,19.75,AR,1712437778
80,malacacheta,-17.8422,-42.0767,69.78,83,28,3.65,BR,1712437803
